Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Prediction
54415,17,1718887636.037427,0.0665173530578613,0,127,0,162958,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.037427,0.0665173530578613,0,128,0,164250,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.037427,0.0665173530578613,0,129,0,165542,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0384414,0.0675318241119384,0,130,0,166834,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0384414,0.0760974884033203,0,10,0,3355,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0384414,0.0760974884033203,0,11,0,3430,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0384414,0.0675318241119384,0,131,0,168126,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0394406,0.0685310363769531,0,132,0,169418,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0394406,0.0685310363769531,0,133,0,170710,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0394406,0.0685310363769531,0,134,0,172002,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0394406,0.0685310363769531,0,135,0,173294,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0404413,0.0695316791534423,0,136,0,174586,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0404413,0.0695316791534423,0,137,0,175878,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0404413,0.0695316791534423,0,138,0,177170,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0418043,0.070894718170166,0,139,0,178462,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0418043,0.070894718170166,0,140,0,179754,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0418043,0.070894718170166,0,141,0,181046,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.042824,0.0804800987243652,0,12,0,3505,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.042824,0.0719144344329834,0,142,0,182338,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.042824,0.0719144344329834,0,143,0,183630,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.042824,0.0719144344329834,0,144,0,184922,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0438068,0.07289719581604,0,145,0,186214,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0438068,0.07289719581604,0,146,0,187506,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0438068,0.07289719581604,0,147,0,188798,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0448046,0.07389497756958,0,148,0,190090,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0448046,0.07389497756958,0,149,0,191382,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0448046,0.07389497756958,0,150,0,192674,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.04582,0.0749104022979736,0,151,0,193966,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.04582,0.0834760665893554,0,13,0,3580,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.04582,0.0749104022979736,0,152,0,195258,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
